start,end,x,y,left,right,middle,x1,x2,ctrl,shift,alt,win,window,repeats
1746056973794,1746056976750,594,310,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",299
1746056976761,1746056976761,594,317,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976761,1746056976771,594,323,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.mainasdfasdfasdfasdfasdfas]",1
1746056976780,1746056976780,594,329,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976790,1746056976790,592,350,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976800,1746056976800,591,363,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976810,1746056976810,590,371,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976820,1746056976820,589,398,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976830,1746056976830,588,410,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976840,1746056976840,587,437,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976850,1746056976850,587,451,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976860,1746056976860,587,465,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976870,1746056976870,597,493,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976880,1746056976880,603,505,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976890,1746056976890,611,517,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976900,1746056976900,639,546,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976910,1746056976910,656,558,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976920,1746056976920,677,569,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056976930,1746056976930,740,589,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
