start,end,x,y,left,right,middle,x1,x2,ctrl,shift,alt,win,window,repeats
1746057178014,1746057179591,650,312,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",160
1746057179601,1746057179601,654,313,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179611,1746057179611,663,318,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179621,1746057179621,674,323,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179631,1746057179631,719,342,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179641,1746057179641,751,352,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179651,1746057179651,774,360,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179661,1746057179661,863,388,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179672,1746057179672,931,409,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179681,1746057179691,994,430,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",2
1746057179701,1746057179701,1111,469,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179711,1746057179711,1160,485,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179721,1746057179721,1208,499,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179731,1746057179731,1297,519,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179741,1746057179741,1320,524,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179751,1746057179751,1333,526,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179761,1746057179761,1363,531,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179771,1746057179771,1370,531,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179781,1746057179781,1375,532,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179791,1746057179791,1383,532,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179801,1746057179801,1384,533,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179811,1746057179871,1385,533,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",7
1746057179881,1746057179881,1386,533,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057179891,1746057179901,1387,533,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",2
1746057179911,1746057180091,1388,534,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",19
1746057180101,1746057180151,1388,534,1,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",6
1746057180161,1746057180251,1388,534,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",10
1746057180261,1746057180261,1389,534,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180271,1746057180271,1391,534,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180281,1746057180281,1394,535,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180291,1746057180291,1399,536,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180301,1746057180301,1410,537,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180311,1746057180311,1417,538,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180321,1746057180321,1430,540,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180331,1746057180331,1454,545,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180341,1746057180341,1472,548,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180351,1746057180351,1496,554,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180361,1746057180361,1543,563,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180371,1746057180371,1559,567,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180381,1746057180381,1594,576,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180391,1746057180391,1630,586,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746057180401,1746057180401,1647,591,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
